temp,hum,next_temp,next_hum,trang_thai_suc_khoe,khan_cap
29.6,83.4,31.4,100,Can trong,Khong
31.4,66.5,30.6,65.9,Can trong,Khong
34.5,81.3,33.1,76.6,Nguy hiem,Khong
28.2,85.6,28.8,77.2,Can trong,Khong
40,87.1,41.4,94.5,Nguy hiem,Khong
21.7,82.6,23.3,82.3,An toan,Khong
24,41.1,22.7,42.4,An toan,Khong
23.6,90.5,23.5,97,An toan,Khong
37.4,66.5,35.4,58.6,Nguy hiem,Khong
31.4,83.6,31,93.3,Can trong,Khong
32.2,74.3,32.8,79.9,Nguy hiem,Khong
22.7,51.2,24.6,52.5,An toan,Khong
23,55.6,23.8,61,An toan,Khong
20.4,55.7,18.8,63.9,An toan,Khong
38,45.7,38.5,44.5,Canh bao cao,Khong
26.3,65.4,27.1,60.5,An toan,Khong
31.3,82.2,32,83.2,Can trong,Khong
27.1,54.9,25.9,50.7,Can trong,Khong
33,47,32.3,56.3,Canh bao cao,Khong
39.1,90.5,41.1,92.7,Nguy hiem,Khong
36.8,92.4,37.4,99,Nguy hiem,Khong
25.5,85.3,24.3,77.1,An toan,Khong
26.1,43,25.2,42.5,An toan,Khong
21.1,89.5,21.5,99.3,An toan,Khong
38.2,60.6,41.6,83.5,Nguy hiem,CO (Soc moi truong)
27.3,81.8,27.7,90.1,Can trong,Khong
30.9,53.8,35.5,80.7,Can trong,CO (Soc moi truong)
32,90,33.7,83.4,Can trong,Khong
22.2,51.8,21.6,61.6,An toan,Khong
29.9,79.2,31.4,70.7,Can trong,Khong
32.2,70.7,32.5,62.6,Nguy hiem,Khong
22.2,61.9,22.8,63.3,An toan,Khong
30.4,33.9,30.6,26.5,Can trong,Khong
20.2,34.4,21.1,41.4,An toan,Khong
25.5,40.6,26.9,45,An toan,Khong
33.2,70.2,34.4,61.2,Nguy hiem,Khong
30,52.9,29.8,46.9,Can trong,Khong
28.1,34.3,27.3,29.9,Can trong,Khong
36.2,91.5,37.5,97.8,Nguy hiem,Khong
39.5,88.3,38.8,78.6,Nguy hiem,Khong
31,48.8,32.8,44.3,Can trong,Khong
22,31.2,21.2,27.5,An toan,Khong
37.6,35.2,45,14.7,Canh bao cao,CO (Soc moi truong)
20,57.3,20.5,66.7,An toan,Khong
20.4,54.1,20.6,45.6,An toan,Khong
38.8,32.4,37.7,38.3,Canh bao cao,Khong
25.8,73.3,24.7,79.6,An toan,Khong
41.5,32.7,42.9,25.1,Cuc ky nguy hiem,Khong
23.5,53.8,22.4,63,An toan,Khong
29,81.7,28.1,74.4,Can trong,Khong
38.8,53.2,37.1,45.6,Canh bao cao,Khong
38.5,93.9,40.3,89,Nguy hiem,Khong
37.8,53,39.8,57,Canh bao cao,Khong
31.6,49.3,29.8,42.1,Can trong,Khong
26.5,45.5,27.8,48.4,An toan,Khong
41.6,51.9,40.5,51.8,Cuc ky nguy hiem,Khong
40.9,87,40.9,84.2,Nguy hiem,Khong
27.7,62.4,27.2,68.1,Can trong,Khong
38.7,44.2,37.8,48.8,Canh bao cao,Khong
32.5,62.4,31.8,39.7,Nguy hiem,CO (Soc moi truong)
37.4,68,36.1,68.4,Nguy hiem,Khong
20.2,32.9,19.1,33.6,An toan,Khong
24.9,65.7,26,56.3,An toan,Khong
22.3,32.9,21.4,25.6,An toan,Khong
37.4,50.5,36.1,43.5,Canh bao cao,Khong
40.8,90.8,42.7,81,Nguy hiem,Khong
41.6,73.8,43.5,78.7,Cuc ky nguy hiem,Khong
39,36.9,39.1,39.1,Canh bao cao,Khong
21.8,94.3,22,92,An toan,Khong
38.6,53.1,37.1,56.2,Canh bao cao,Khong
26.8,31.7,26.4,38.3,An toan,Khong
26.8,78.8,20.5,90.1,An toan,CO (Soc moi truong)
26.2,44.5,23.8,49.5,An toan,Khong
32.5,62.4,34.5,54.7,Nguy hiem,Khong
29.4,91.7,34.4,64.6,Can trong,CO (Soc moi truong)
22.8,57.5,21.3,50.2,An toan,Khong
26.7,36.4,26.1,40.8,An toan,Khong
20.3,70.7,19.7,77.7,An toan,Khong
29,55.3,30.5,46.4,Can trong,Khong
22.9,92.3,22.1,88.8,An toan,Khong
22.7,92.1,23.8,96.9,An toan,Khong
26.1,41.1,27.4,48,An toan,Khong
34.5,64.5,36.2,60.6,Nguy hiem,Khong
32.6,43.7,37.8,53.2,Canh bao cao,CO (Soc moi truong)
21.5,71.2,22,76.8,An toan,Khong
21.6,39.5,22.3,46.1,An toan,Khong
39.6,30.2,39.1,22.7,Canh bao cao,Khong
22.2,83.3,22.3,77,An toan,Khong
34.6,35.2,33.9,42.5,Canh bao cao,Khong
36.7,72.6,37.4,80.9,Nguy hiem,Khong
39,84.9,35.3,96,Nguy hiem,Khong
41.8,40.3,42.5,40,Cuc ky nguy hiem,Khong
32.2,75.7,31.3,67.5,Nguy hiem,Khong
40.4,80.9,38.4,52.6,Nguy hiem,CO (Soc moi truong)
33.4,86.2,31.8,79,Nguy hiem,Khong
37.4,93.5,35.7,94.2,Nguy hiem,Khong
31.9,55.9,30.7,62.4,Can trong,Khong
40.3,70.8,41.1,63.6,Nguy hiem,Khong
31.6,66.2,25.6,82.2,Can trong,CO (Soc moi truong)
22.1,81.4,22.5,85.5,An toan,Khong
25.4,71.9,25.2,81.2,An toan,Khong
24.9,81.9,25.3,82.9,An toan,Khong
20.8,44.8,22,41.5,An toan,Khong
31,64.7,31.6,64.4,Can trong,Khong
30.5,68,31.5,72.8,Can trong,Khong
22,37.3,22.1,32.1,An toan,Khong
22.7,62.5,23,63,An toan,Khong
31.6,62.8,31.9,57.2,Can trong,Khong
37,61.1,37.8,54.6,Nguy hiem,Khong
28.1,81.9,29,86.4,Can trong,Khong
31.9,83.9,33,86.9,Can trong,Khong
31.9,40.2,31.2,37.2,Can trong,Khong
24.3,59.8,25.6,63.2,An toan,Khong
38.9,94.5,39.6,88,Nguy hiem,Khong
40.6,44.3,40,43.7,Canh bao cao,Khong
29.8,77.5,24.2,74.7,Can trong,CO (Soc moi truong)
39.6,94,40.5,98.7,Nguy hiem,Khong
24.1,81.2,22.1,78.4,An toan,Khong
36.1,79.3,37.3,77.6,Nguy hiem,Khong
23.9,49.3,23.6,52.4,An toan,Khong
29.7,87.4,31.4,87,Can trong,Khong
31.6,71.2,30.7,65.7,Can trong,Khong
41.5,40.4,41.5,48.3,Cuc ky nguy hiem,Khong
37.3,43.9,39,46.3,Canh bao cao,Khong
32.3,57.2,33,63.2,Canh bao cao,Khong
23.6,53.9,23.1,54.9,An toan,Khong
41.9,91.5,40.6,71.3,Cuc ky nguy hiem,CO (Soc moi truong)
23.6,65,24.8,69.5,An toan,Khong
23.1,47.8,24.7,54.3,An toan,Khong
24.2,71.8,25.7,73.7,An toan,Khong
21.9,59.3,22.3,45.1,An toan,Khong
22.6,58,22.1,61.1,An toan,Khong
24.3,84.6,19.9,97.6,An toan,Khong
28,33.6,26.9,26,Can trong,Khong
22.2,47.6,20.2,49.5,An toan,Khong
40.7,34.5,42.1,43.4,Canh bao cao,Khong
35.7,79.1,33.8,73.6,Nguy hiem,Khong
29.8,78.2,29.3,82.1,Can trong,Khong
22.1,52.5,21.3,56.4,An toan,Khong
22.9,37.7,23,43.4,An toan,Khong
41.9,34.2,40.3,27.7,Cuc ky nguy hiem,Khong
40.8,76.7,40,81.3,Nguy hiem,Khong
41.1,50.1,40.7,52.3,Cuc ky nguy hiem,Khong
29.1,48.1,27.7,50.1,Can trong,Khong
29.8,90,28.7,85.9,Can trong,Khong
36,80.1,37.8,71.3,Nguy hiem,Khong
23.4,47.4,23,49.7,An toan,Khong
36.3,91,44.3,100,Nguy hiem,CO (Soc moi truong)
29,46.4,28.6,46.3,Can trong,Khong
26.6,39.3,28.2,41,An toan,Khong
31.2,74.5,30.1,75,Can trong,Khong
28.6,61.2,30,59.2,Can trong,Khong
21,45.7,20.8,37.6,An toan,Khong
25.9,83.8,21.6,100,An toan,Khong
23.9,61.3,23.2,61.2,An toan,Khong
38.6,46.7,36.7,42.4,Canh bao cao,Khong
36.9,37.5,36.3,28.2,Canh bao cao,Khong
38,77.6,36.6,82.2,Nguy hiem,Khong
35.8,34.4,36.6,32.2,Canh bao cao,Khong
33.8,79.7,32.8,80.6,Nguy hiem,Khong
26.8,34.1,28.1,36.2,An toan,Khong
34.4,63,35.5,70.4,Nguy hiem,Khong
28.9,56.2,27.3,61,Can trong,Khong
34.9,34.1,35.5,28.2,Canh bao cao,Khong
